existingchecking_A14,credithistory_A34,housing_A152,savings_A65,property_A121,otherinstallmentplans_A143,purpose_A43,employmentsince_A72,existingchecking_A12,property_A124,credithistory_A31,credithistory_A30,creditamount,savings_A61,duration,existingchecking_A11,classification
0,1,1,1,1,1,1,0,0,0,0,0,1169,0,6,1,1
0,0,1,0,1,1,1,0,1,0,0,0,5951,1,48,0,-1
1,1,1,0,1,1,0,0,0,0,0,0,2096,1,12,0,1
0,0,0,0,0,1,0,0,0,0,0,0,7882,1,42,1,1
0,0,0,0,0,1,0,0,0,1,0,0,4870,1,24,1,-1
1,0,0,1,0,1,0,0,0,1,0,0,9055,0,36,0,1
1,0,1,0,0,1,0,0,0,0,0,0,2835,0,24,0,1
0,0,0,0,0,1,0,0,1,0,0,0,6948,1,36,0,1
1,0,1,0,1,1,1,0,0,0,0,0,3059,0,12,0,1
0,1,1,0,0,1,0,0,1,0,0,0,5234,1,30,0,-1
0,0,0,0,0,1,0,1,1,0,0,0,1295,1,12,0,-1
0,0,0,0,0,1,0,1,0,0,0,0,4308,1,48,1,-1
0,0,1,0,0,1,1,0,1,0,0,0,1567,1,12,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1199,1,24,1,-1
0,0,0,0,0,1,0,0,0,0,0,0,1403,1,15,1,1
0,0,1,0,0,1,1,0,0,0,0,0,1282,0,24,1,-1
1,1,1,1,0,1,1,0,0,0,0,0,2424,0,24,0,1
0,0,1,1,0,0,0,1,0,0,0,1,8072,0,30,1,1
0,0,0,0,0,1,0,0,1,1,0,0,12579,1,24,0,-1
1,0,1,0,0,1,1,0,0,0,0,0,3430,0,24,0,1
1,1,1,0,0,1,0,0,0,0,0,0,2134,1,9,0,1
0,0,0,0,1,1,1,0,0,0,0,0,2647,0,6,1,1
0,1,0,0,1,1,0,1,0,0,0,0,2241,1,10,1,1
0,1,1,0,0,1,0,1,1,0,0,0,1804,0,12,0,1
1,1,1,1,0,1,0,0,0,0,0,0,2069,0,10,0,1
0,0,1,0,1,0,0,0,0,0,0,0,1374,1,6,1,1
1,0,1,0,0,1,1,0,0,0,0,1,426,1,6,0,1
0,0,0,0,1,1,1,0,0,0,1,0,409,0,12,0,1
0,0,1,0,1,1,1,0,1,0,0,0,2415,1,7,0,1
0,0,1,0,0,1,0,0,0,1,0,0,6836,1,60,1,-1
0,0,1,0,1,0,0,1,1,0,0,0,1913,0,18,0,1
0,0,1,0,0,0,0,0,0,0,0,0,4020,1,24,1,1
0,0,1,0,0,1,0,0,1,0,0,0,5866,0,18,0,1
1,1,0,1,0,1,0,0,0,1,0,0,1264,0,12,0,1
0,0,1,0,0,0,0,1,0,0,0,0,1474,1,12,0,1
0,1,1,0,0,1,1,1,1,0,0,0,4746,1,45,0,-1
1,1,0,0,0,0,0,0,0,1,0,0,6110,1,48,0,1
0,0,1,0,1,0,1,0,0,0,0,0,2100,1,18,0,-1
0,0,1,0,0,1,0,0,0,0,0,0,1225,1,10,0,1
0,0,1,0,1,1,1,0,1,0,0,0,458,1,9,0,1
1,0,1,0,0,0,1,0,0,0,0,0,2333,0,30,0,1
0,0,1,0,0,1,1,0,1,0,0,0,1158,0,12,0,1
0,0,1,0,1,1,0,0,1,0,0,0,6204,1,18,0,1
0,1,0,0,0,1,0,0,0,0,0,0,6187,0,30,1,1
0,1,0,0,0,0,0,0,0,1,0,0,6143,1,48,1,-1
1,1,1,0,0,1,0,1,0,0,0,0,1393,1,11,0,1
1,0,1,0,0,1,1,0,0,0,0,0,2299,0,36,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1352,0,6,1,1
1,1,1,0,0,1,0,0,0,0,0,0,7228,1,11,0,1
1,0,1,0,1,1,1,0,0,0,0,0,2073,0,12,0,1
0,0,1,1,0,0,0,1,1,0,0,0,2333,0,24,0,1
0,0,1,0,0,1,0,0,1,0,0,0,5965,1,27,0,1
1,0,1,0,0,1,1,0,0,0,0,0,1262,1,12,0,1
1,0,1,1,0,1,0,0,0,0,0,0,3378,0,18,0,1
0,0,0,0,0,0,0,0,1,1,0,0,2225,1,36,0,-1
1,0,1,1,1,0,0,0,0,0,1,0,783,0,6,0,1
0,0,1,1,0,1,1,0,1,1,0,0,6468,0,12,0,-1
1,1,1,0,0,0,1,0,0,0,0,0,9566,1,36,0,1
0,0,1,0,0,1,0,0,0,0,0,0,1961,1,18,0,1
0,1,0,0,0,1,0,1,0,1,0,0,6229,1,36,1,-1
0,0,1,0,1,0,0,0,1,0,0,0,1391,1,9,0,1
0,1,1,1,1,1,1,0,1,0,0,0,1537,0,15,0,1
0,0,0,0,0,1,0,0,1,1,0,1,1953,1,36,0,-1
